TaskID,TaskIDName,TemplateToken,TaskName,TaskFullName
98094,"SRT","RTC","反应速度","反应速度儿童版（太阳）-v3"
98093,"SRT","RTC","反应速度","反应速度儿童版（月亮）-v3"
98022,"SRT","RTC","反应速度","反应速度（红色）-v3"
98000,"SRT","RTC","反应速度","反应速度（蓝色）-v3"
100021,"SRTBread","RTB","面包大师","面包大师"
100020,"SRTWatch","RTW","超级秒表","超级秒表"
97979,"SRTWatch","RTW","超级秒表","超级秒表-v4"
135670,"StopSignal","SS","红绿灯","红绿灯-V4"
97966,"StopSignal","SS","红绿灯","红绿灯"
97985,"TMT","TMT","连线","连线"
97942,"TMT","TMT","连线","连线-初级"
97991,"SymbolMemory","EM","符号记忆","符号记忆"
97948,"SymbolMemory","EM","符号记忆-v4","符号记忆-v4"
97934,"NumLine","NL","宇航员","宇航员-v4"
97990,"WCST","","卡片分类","卡片分类"
123128,"MentRot2D","CHO","二维心理旋转测试","二维心理旋转测试"
118036,"MentRot3D","CHO","心理旋转测试","心理旋转测试"
116042,"GraphExpand","CHO","图形折叠展开","图形折叠展开"
116041,"GraphInduct","CHO","图形归纳推理","图形归纳推理"
116040,"GraphDeduct","CHO","图形演绎推理","图形演绎推理"
116039,"DigitInduct","CHO","数字归纳推理","数字归纳推理"
116038,"DigitDeduct","CHO","数字演绎推理","数字演绎推理"
97995,"VisualSearch","VS","视觉搜索","视觉搜索"
99972,"INPROGRESS","","注意搜索","注意搜索"
97998,"INPROGRESS","","快速译码","快速译码"
97996,"INPROGRESS","","图片空间记忆","图片空间记忆"
97988,"INPROGRESS","","动物达人","动物达人（初级）"
97987,"INPROGRESS","","蝴蝶照相机","蝴蝶照相机初级"
97986,"INPROGRESS","","蝴蝶照相机","蝴蝶照相机中级"
97983,"INPROGRESS","","动物达人","动物达人（中级）"
97937,"INPROGRESS","","识字量","识字量-v4"
97936,"INPROGRESS","","拼音加工","拼音加工-v4"
97935,"INPROGRESS","","词语加工","词语加工-v4"
97931,"INPROGRESS","","符号加工","符号加工-v4"
97930,"INPROGRESS","","文字短时记忆","文字短时记忆-v4"
97929,"INPROGRESS","","言语魔法师初级","言语魔法师初级-v4"
97928,"INPROGRESS","","言语魔法师中级","言语魔法师中级-v4"
97927,"INPROGRESS","","形音联系","形音联系-v4"
99983,"DEPRECATED","","同音判断","同音判断"
99982,"DEPRECATED","","语义判断","语义判断"
97989,"DEPRECATED","","联系记忆","联系记忆高级版"
97984,"DEPRECATED","","注意线索","注意线索"
